Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
WildCard,Sat,2021-01-09,Buffalo Bills,,Indianapolis Colts,boxscore,27,24
WildCard,Sat,2021-01-09,Los Angeles Rams,@,Seattle Seahawks,boxscore,30,20
WildCard,Sat,2021-01-09,Tampa Bay Buccaneers,@,Washington Football Team,boxscore,31,23
WildCard,Sun,2021-01-10,Cleveland Browns,@,Pittsburgh Steelers,boxscore,48,37
WildCard,Sun,2021-01-10,New Orleans Saints,,Chicago Bears,boxscore,21,9
WildCard,Sun,2021-01-10,Baltimore Ravens,@,Tennessee Titans,boxscore,20,13
Division,Sat,2021-01-16,Green Bay Packers,,Los Angeles Rams,boxscore,32,18
Division,Sat,2021-01-16,Buffalo Bills,,Baltimore Ravens,boxscore,17,3
Division,Sun,2021-01-17,Kansas City Chiefs,,Cleveland Browns,boxscore,22,17
Division,Sun,2021-01-17,Tampa Bay Buccaneers,@,New Orleans Saints,boxscore,30,20
ConfChamp,Sun,2021-01-24,Kansas City Chiefs,,Buffalo Bills,boxscore,38,24
ConfChamp,Sun,2021-01-24,Tampa Bay Buccaneers,@,Green Bay Packers,boxscore,31,26
SuperBowl,Sun,2021-02-07,Tampa Bay Buccaneers,N,Kansas City Chiefs,boxscore,31,9
