Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
WildCard,Sat,2019-01-05,Indianapolis Colts,@,Houston Texans,boxscore,21,7
WildCard,Sat,2019-01-05,Dallas Cowboys,,Seattle Seahawks,boxscore,24,22
WildCard,Sun,2019-01-06,Philadelphia Eagles,@,Chicago Bears,boxscore,16,15
WildCard,Sun,2019-01-06,Los Angeles Chargers,@,Baltimore Ravens,boxscore,23,17
Division,Sat,2019-01-12,Kansas City Chiefs,,Indianapolis Colts,boxscore,31,13
Division,Sat,2019-01-12,Los Angeles Rams,,Dallas Cowboys,boxscore,30,22
Division,Sun,2019-01-13,New Orleans Saints,,Philadelphia Eagles,boxscore,20,14
Division,Sun,2019-01-13,New England Patriots,,Los Angeles Chargers,boxscore,41,28
ConfChamp,Sun,2019-01-20,New England Patriots,@,Kansas City Chiefs,boxscore,37,31
ConfChamp,Sun,2019-01-20,Los Angeles Rams,@,New Orleans Saints,boxscore,26,23
SuperBowl,Sun,2019-02-03,New England Patriots,N,Los Angeles Rams,boxscore,13,3
