Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
WildCard,Sat,2017-01-07,Houston Texans,,Oakland Raiders,boxscore,27,14
WildCard,Sat,2017-01-07,Seattle Seahawks,,Detroit Lions,boxscore,26,6
WildCard,Sun,2017-01-08,Green Bay Packers,,New York Giants,boxscore,38,13
WildCard,Sun,2017-01-08,Pittsburgh Steelers,,Miami Dolphins,boxscore,30,12
Division,Sat,2017-01-14,Atlanta Falcons,,Seattle Seahawks,boxscore,36,20
Division,Sat,2017-01-14,New England Patriots,,Houston Texans,boxscore,34,16
Division,Sun,2017-01-15,Green Bay Packers,@,Dallas Cowboys,boxscore,34,31
Division,Sun,2017-01-15,Pittsburgh Steelers,@,Kansas City Chiefs,boxscore,18,16
ConfChamp,Sun,2017-01-22,Atlanta Falcons,,Green Bay Packers,boxscore,44,21
ConfChamp,Sun,2017-01-22,New England Patriots,,Pittsburgh Steelers,boxscore,36,17
SuperBowl,Sun,2017-02-05,New England Patriots,N,Atlanta Falcons,boxscore,34,28


