Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
WildCard,Sat,2020-01-04,Houston Texans,,Buffalo Bills,boxscore,22,19
WildCard,Sat,2020-01-04,Tennessee Titans,@,New England Patriots,boxscore,20,13
WildCard,Sun,2020-01-05,Minnesota Vikings,@,New Orleans Saints,boxscore,26,20
WildCard,Sun,2020-01-05,Seattle Seahawks,@,Philadelphia Eagles,boxscore,17,9
Division,Sat,2020-01-11,San Francisco 49ers,,Minnesota Vikings,boxscore,27,10
Division,Sat,2020-01-11,Tennessee Titans,@,Baltimore Ravens,boxscore,28,12
Division,Sun,2020-01-12,Green Bay Packers,,Seattle Seahawks,boxscore,28,23
Division,Sun,2020-01-12,Kansas City Chiefs,,Houston Texans,boxscore,51,31
ConfChamp,Sun,2020-01-19,Kansas City Chiefs,,Tennessee Titans,boxscore,35,24
ConfChamp,Sun,2020-01-19,San Francisco 49ers,,Green Bay Packers,boxscore,37,20
SuperBowl,Sun,2020-02-02,Kansas City Chiefs,N,San Francisco 49ers,boxscore,31,20
