Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
WildCard,Sat,2022-01-15,Buffalo Bills,,New England Patriots,boxscore,47,17
WildCard,Sat,2022-01-15,Cincinnati Bengals,,Las Vegas Raiders,boxscore,26,19
WildCard,Sun,2022-01-16,Kansas City Chiefs,,Pittsburgh Steelers,boxscore,42,21
WildCard,Sun,2022-01-16,San Francisco 49ers,@,Dallas Cowboys,boxscore,23,17
WildCard,Sun,2022-01-16,Tampa Bay Buccaneers,,Philadelphia Eagles,boxscore,31,15
WildCard,Mon,2022-01-17,Los Angeles Rams,,Arizona Cardinals,boxscore,34,11
Division,Sat,2022-01-22,Cincinnati Bengals,@,Tennessee Titans,boxscore,19,16
Division,Sat,2022-01-22,San Francisco 49ers,@,Green Bay Packers,boxscore,13,10
Division,Sun,2022-01-23,Kansas City Chiefs,,Buffalo Bills,boxscore,42,36
Division,Sun,2022-01-23,Los Angeles Rams,@,Tampa Bay Buccaneers,boxscore,30,27
ConfChamp,Sun,2022-01-30,Cincinnati Bengals,@,Kansas City Chiefs,boxscore,27,24
ConfChamp,Sun,2022-01-30,Los Angeles Rams,,San Francisco 49ers,boxscore,20,17
SuperBowl,Sun,2022-02-13,Los Angeles Rams,N,Cincinnati Bengals,boxscore,23,20
