,Projected,Actual
0,Won,Lost
1,Lost,Lost
2,Won,Won
3,Won,Won
4,Won,Won
5,Won,Won
6,Won,Lost
7,Won,Won
8,Won,Won
9,Won,Won
10,Won,Won
11,Won,Won
12,Won,Lost
13,Won,Lost
14,Won,Won
15,Won,Lost
16,Lost,Lost
17,Won,Lost
18,Lost,Won
19,Won,Lost
20,Won,Won
21,Lost,Lost
22,Won,Won
23,Won,Won
24,Lost,Lost
25,Won,Won
26,Won,Lost
27,Won,Won
